날짜,1차,완료
2021-02-26,"27,113","4,405"
2021-02-27,"28,633","4,461"
2021-02-28,"29,542","4,501"
2021-03-01,"31,180","4,550"
2021-03-02,"97,771","4,639"
2021-03-03,"167,328","4,758"
2021-03-04,"237,813","5,056"
2021-03-05,"308,567","5,228"
2021-03-06,"326,702","5,261"
2021-03-07,"328,849","5,288"
2021-03-08,"396,584","5,363"
2021-03-09,"460,311","5,515"
2021-03-10,"514,742","5,809"
2021-03-11,"559,556","6,178"
2021-03-12,"598,064","6,437"
2021-03-13,"602,070","6,520"
2021-03-14,"603,366","6,564"
2021-03-15,"616,859","7,447"
2021-03-16,"636,527","8,138"
2021-03-17,"657,119","8,742"
2021-03-18,"677,013","9,216"
2021-03-19,"694,564","9,798"
2021-03-20,"695,993","10,179"
2021-03-21,"696,165","10,509"
2021-03-22,"700,200","10,961"
2021-03-23,"722,421","11,864"
2021-03-24,"753,295","13,160"
2021-03-25,"788,336","14,650"
2021-03-26,"813,691","16,362"
2021-03-27,"815,262","16,455"
2021-03-28,"815,473","16,497"
2021-03-29,"843,735","17,547"
2021-03-30,"874,099","19,829"
2021-03-31,"898,659","24,771"
2021-04-01,"936,747","32,223"
2021-04-02,"977,151","39,427"
2021-04-03,"986,066","40,113"
2021-04-04,"986,854","40,242"
2021-04-05,"1,025,089","41,612"
2021-04-06,"1,065,242","48,456"
2021-04-07,"1,104,559","58,996"
2021-04-08,"1,143,260","70,029"
2021-04-09,"1,178,691","78,915"
2021-04-10,"1,188,339","80,613"
2021-04-11,"1,188,868","80,746"
2021-04-12,"1,229,085","82,459"
2021-04-13,"1,274,849","83,586"
2021-04-14,"1,321,872","83,865"
2021-04-15,"1,416,189","84,137"
2021-04-16,"1,520,262","84,644"
2021-04-17,"1,550,172","84,853"
2021-04-18,"1,555,281","84,969"
2021-04-19,"1,678,787","85,197"
2021-04-20,"1,810,710","85,491"
2021-04-21,"1,944,061","85,930"
2021-04-22,"2,076,565","104,888"
2021-04-23,"2,237,341","124,876"
2021-04-24,"2,302,805","130,907"
2021-04-25,"2,309,353","131,421"
2021-04-26,"2,452,578","153,331"
2021-04-27,"2,629,973","175,521"
2021-04-28,"2,862,521","196,385"
2021-04-29,"3,125,283","226,867"
2021-04-30,"3,403,790","258,032"
2021-05-01,"3,444,326","266,136"
2021-05-02,"3,446,111","266,635"
2021-05-03,"3,533,235","298,197"
2021-05-04,"3,608,975","330,418"
2021-05-05,"3,615,039","356,223"
2021-05-06,"3,673,492","430,667"
2021-05-07,"3,722,322","508,431"
2021-05-08,"3,734,813","536,441"
2021-05-09,"3,735,061","541,397"
2021-05-10,"3,749,341","619,777"
2021-05-11,"3,758,644","701,251"
2021-05-12,"3,765,515","784,773"
2021-05-13,"3,774,995","863,573"
2021-05-14,"3,786,806","944,565"
2021-05-15,"3,788,561","975,025"
2021-05-16,"3,788,953","980,236"
2021-05-17,"3,802,946","1,081,156"
