날짜,해외유입확진자,확진자수(당일),강남역 승하차수(당일),백신접종완료수(누적),검사수(당일),사망자수(당일)
2021-01-01,25,1027,25757,,49005,17
2021-01-02,36,820,53220,,38040,25
2021-01-03,16,657,30473,,35770,20
2021-01-04,35,985,125615,,31521,19
2021-01-05,42,1734,125725,,60506,26
2021-01-06,31,838,133359,,67123,20
2021-01-07,37,869,130180,,60196,19
2021-01-08,42,674,129004,,61519,35
2021-01-09,45,641,72124,,33847,19
2021-01-10,34,657,34144,,28222,25
2021-01-11,32,451,128948,,29913,15
2021-01-12,27,537,136854,,58227,25
2021-01-13,26,561,131069,,62024,20
2021-01-14,28,524,132180,,52715,10
2021-01-15,5863,512,137733,,54196,22
2021-01-16,33,580,80089,,60880,19
2021-01-17,20,520,40510,,25930,13
2021-01-18,23,389,142965,,27215,15
2021-01-19,35,386,142627,,51804,19
2021-01-20,31,404,144880,,45479,17
2021-01-21,19,400,142703,,52550,16
2021-01-22,32,346,151321,,47484,12
2021-01-23,28,431,92746,,43989,9
2021-01-24,23,392,48806,,21737,12
2021-01-25,32,437,147079,,22953,11
2021-01-26,16,349,148596,,46484,11
2021-01-27,43,559,151399,,52942,7
2021-01-28,18,497,147908,,52089,8
2021-01-29,24,469,153459,,47268,13
2021-01-30,35,456,97024,,44025,15
2021-01-31,31,354,51441,,21024,6
2021-02-01,20,305,153982,,49571,5
2021-02-02,41,336,155359,,44857,10
2021-02-03,34,467,157289,,46381,6
2021-02-04,22,451,156067,,64620,7
2021-02-05,20,370,164451,,46175,11
2021-02-06,28,390,101515,,55880,5
2021-02-07,46,371,54711,,21222,7
2021-02-08,24,288,162281,,49209,3
2021-02-09,30,303,164093,,51478,8
2021-02-10,30,444,154902,,39985,4
2021-02-11,37,504,50382,,38461,10
2021-02-12,19,403,24752,,21968,11
2021-02-13,17,362,50483,,24749,7
2021-02-14,22,326,48679,,16850,8
2021-02-15,21,343,156942,,50630,5
2021-02-16,28,457,164874,,53924,7
2021-02-17,31,621,163092,,42647,4
2021-02-18,31,621,161333,,42778,6
2021-02-19,28,561,167748,,42323,6
2021-02-20,32,448,109506,,20709,3
2021-02-21,25,416,63106,,23517,4
2021-02-22,19,332,165572,,43535,5
2021-02-23,27,356,168286,,41950,11
2021-02-24,23,440,167295,,40226,3
2021-02-25,27,395,167334,,38852,5
2021-02-26,24,387,176795,"4,405",38514,4
2021-02-27,10,415,114614,"4,461",21791,10
2021-02-28,22,355,67375,"4,501",17924,8
2021-03-01,17,355,53713,"4,550",16221,2
2021-03-02,25,344,158082,"4,639",34227,1
2021-03-03,18,444,160663,"4,758",41842,6
2021-03-04,23,424,162132,"5,056",37111,7
2021-03-05,17,398,178761,"5,228",33444,8
2021-03-06,14,418,118232,"5,261",21183,5
2021-03-07,18,416,65226,"5,288",20018,2
2021-03-08,11,346,160980,"5,363",41175,8
2021-03-09,19,446,162957,"5,515",35900,3
2021-03-10,18,470,165114,"5,809",36129,3
2021-03-11,21,465,164288,"6,178",35679,4
2021-03-12,21,488,175798,"6,437",35105,10
2021-03-13,16,490,119451,"6,520",19619,5
2021-03-14,23,459,66364,"6,564",18539,2
2021-03-15,12,379,161646,"7,447",16842,6
2021-03-16,18,363,164708,"8,138",45433,3
2021-03-17,17,469,166527,"8,742",40121,8
2021-03-18,18,445,165947,"9,216",46854,2
2021-03-19,22,463,180386,"9,798",44009,2
2021-03-20,12,447,117660,"10,179",39247,3
2021-03-21,19,456,67483,"10,509",23250,3
2021-03-22,19,415,160115,"10,961",18426,1
2021-03-23,15,346,163226,"11,864",40220,7
2021-03-24,17,428,163321,"13,160",46101,3
2021-03-25,11,430,164750,"14,650",43544,2
2021-03-26,23,489,179294,"16,362",53103,7
2021-03-27,15,505,116944,"16,455",45398,5
2021-03-28,20,482,64678,"16,497",20735,1
2021-03-29,13,382,159391,"17,547",20394,4
2021-03-30,18,447,162529,"19,829",43801,3
2021-03-31,15,506,162311,"24,771",39503,2
2021-04-01,14,551,162818,"32,223",42156,4
2021-04-02,25,557,175660,"39,427",41306,2
2021-04-03,22,543,106991,"40,113",36891,3
2021-04-04,29,543,63045,"40,242",19344,4
2021-04-05,24,473,162140,"41,612",52470,4
2021-04-06,18,477,165024,"48,456",53842,4
2021-04-07,15,668,163734,"58,996",46254,4
2021-04-08,26,700,163011,"70,029",42902,2
2021-04-09,27,671,176575,"78,915",47517,6
2021-04-10,15,677,114862,"80,613",39420,1
2021-04-11,20,614,63171,"80,746",23251,3
2021-04-12,27,587,155521,"82,459",47736,2
2021-04-13,14,542,161242,"83,586",57510,5
2021-04-14,17,731,162216,"83,865",45738,7
2021-04-15,28,698,160575,"84,137",50124,6
2021-04-16,21,673,167855,"84,644",44447,2
2021-04-17,28,658,109239,"84,853",18288,4
2021-04-18,23,671,59092,"84,969",17102,3
2021-04-19,20,532,155988,"85,197",43771,4
2021-04-20,20,549,159260,"85,491",47982,1
2021-04-21,39,731,159156,"85,930",39911,4
2021-04-22,20,735,159174,"104,888",40056,2
2021-04-23,39,797,169287,"124,876",49393,3
2021-04-24,26,785,109078,"130,907",21868,1
2021-04-25,41,644,59410,"131,421",22540,1
2021-04-26,30,499,157225,"153,331",48631,4
2021-04-27,35,512,161207,"175,521",50107,3
2021-04-28,21,769,161440,"196,385",39282,1
2021-04-29,31,679,160376,"226,867",36045,4
2021-04-30,19,661,171072,"258,032",40394,3
2021-05-01,34,627,102628,"266,136",14846,3
2021-05-02,21,606,63563,"266,635",13410,2
2021-05-03,23,488,161977,"298,197",41829,1
2021-05-04,27,541,167537,"330,418",36914,6
2021-05-05,26,676,75996,"356,223",36015,7
2021-05-06,12,574,164370,"430,667",40362,4
2021-05-07,16,525,172652,"508,431",38265,9
2021-05-08,29,701,96760,"536,441",16605,5
2021-05-09,42,564,64266,"541,397",13584,9
2021-05-10,27,463,161379,"619,777",42225,1
2021-05-11,27,510,168187,"701,251",37255,4
2021-05-12,22,634,167666,"784,773",37567,5
2021-05-13,23,715,167526,"863,573",40138,7
2021-05-14,18,747,179698,"944,565",32402,2
2021-05-15,20,681,117340,"975,025",17520,3
2021-05-16,38,610,57485,"980,236",16686,4
